               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10638,            0.078441,             0.10558,                   0,                   0,                   0,                   0,             0.10067,            0.058418,              0.1026,             0.07024,           0.0033067,           0.0033067
                   1,             0.10081,            0.083851,             0.10178,          0.00029604,           0.0024385,          0.00016461,          5.5666e-05,             0.10157,            0.058739,             0.10919,            0.040174,           0.0065743,           0.0065743
                   2,            0.097502,             0.08335,            0.091724,              0.1819,           0.0012404,          4.2383e-05,          1.1523e-05,            0.098854,             0.07823,            0.087565,            0.010043,           0.0097759,           0.0097759
                   3,            0.093128,            0.082867,            0.083944,             0.54577,           0.0026602,          0.00020272,          5.6649e-05,            0.096364,            0.061441,            0.081853,            0.009703,            0.009703,            0.009703
                   4,            0.089325,            0.085761,             0.08247,          0.00048971,            0.011584,            0.001229,          0.00052128,            0.090994,            0.063987,            0.079683,            0.009703,            0.009703,            0.009703
                   5,            0.085544,            0.086563,            0.081309,          0.00084642,            0.018518,          0.00095297,          0.00030721,            0.088288,            0.063471,            0.079004,            0.009604,            0.009604,            0.009604
                   6,            0.083233,            0.086324,            0.080347,           0.0023562,            0.033235,           0.0022839,          0.00081311,             0.09091,            0.065944,            0.079158,            0.009505,            0.009505,            0.009505
                   7,            0.081359,            0.085713,            0.079744,           0.0033138,            0.054742,           0.0053506,           0.0019658,            0.081905,            0.065097,            0.076971,            0.009406,            0.009406,            0.009406
                   8,            0.079606,             0.08535,            0.078807,           0.0046284,            0.069787,           0.0070431,           0.0026135,            0.080648,            0.062124,            0.076117,            0.009307,            0.009307,            0.009307
                   9,              0.0785,            0.084597,             0.07781,           0.0042852,             0.11603,           0.0083273,            0.002896,            0.084164,             0.06026,            0.076362,            0.009208,            0.009208,            0.009208
                  10,            0.077324,            0.084859,            0.076705,           0.0043096,            0.088191,            0.010403,           0.0040027,            0.079076,            0.066408,            0.074559,            0.009109,            0.009109,            0.009109
