               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061454,            0.095437,            0.038153,             0.59411,             0.15595,             0.19264,            0.089725,            0.057451,            0.071496,            0.030064,            0.070476,           0.0032804,           0.0032804
                   1,            0.059098,            0.086027,             0.03405,             0.54367,             0.16727,             0.16673,            0.078055,            0.057888,            0.067483,            0.028567,            0.040435,           0.0065728,           0.0065728
                   2,            0.060129,            0.083639,            0.031031,             0.51768,             0.16846,             0.16189,            0.075786,            0.060436,            0.067707,            0.029651,            0.010353,            0.009824,            0.009824
                   3,            0.059812,            0.081262,            0.030075,             0.60011,              0.1389,             0.15157,              0.0687,            0.060142,            0.069659,             0.02992,           0.0098144,           0.0098144,           0.0098144
                   4,             0.05807,            0.081064,            0.028993,             0.63438,             0.13896,             0.16298,            0.070546,            0.060528,             0.06708,            0.028379,           0.0098144,           0.0098144,           0.0098144
                   5,             0.05761,            0.078808,            0.027151,             0.71726,             0.11523,             0.14199,            0.065318,            0.059157,            0.067732,            0.029476,           0.0097525,           0.0097525,           0.0097525
                   6,            0.057486,            0.079197,            0.026974,             0.70322,             0.13841,              0.1517,            0.066536,            0.058932,            0.068774,            0.029891,           0.0096906,           0.0096906,           0.0096906
                   7,            0.057624,            0.077079,            0.025511,             0.63785,             0.13842,              0.1646,            0.073306,             0.06031,            0.067021,            0.028459,           0.0096288,           0.0096288,           0.0096288
                   8,            0.056125,            0.076635,            0.024151,              0.6419,             0.14068,             0.15231,            0.074424,             0.05959,               0.068,            0.030793,           0.0095669,           0.0095669,           0.0095669
                   9,            0.055473,            0.075497,            0.023385,             0.56076,             0.13677,             0.13494,             0.06404,            0.059907,            0.066478,             0.02836,            0.009505,            0.009505,            0.009505
                  10,            0.055836,            0.075564,            0.023348,             0.58133,             0.13854,             0.14895,            0.066316,              0.0592,            0.068848,            0.029502,           0.0094431,           0.0094431,           0.0094431
                  11,            0.055156,            0.074301,            0.023666,             0.52224,             0.15221,             0.16432,            0.069982,            0.060306,             0.06868,            0.029197,           0.0093813,           0.0093813,           0.0093813
                  12,            0.054383,              0.0747,            0.021846,             0.68015,             0.12456,             0.17734,            0.077145,            0.058834,            0.069039,            0.029404,           0.0093194,           0.0093194,           0.0093194
                  13,            0.053657,            0.074173,            0.021689,             0.55635,             0.14394,             0.14781,            0.067669,            0.060724,             0.07035,             0.02997,           0.0092575,           0.0092575,           0.0092575
                  14,             0.05438,            0.071681,            0.021441,             0.50312,               0.149,             0.15602,            0.072324,            0.060222,            0.070201,            0.030875,           0.0091956,           0.0091956,           0.0091956
                  15,            0.053285,            0.070518,            0.020434,             0.59781,             0.15258,             0.17214,            0.078836,            0.061254,             0.06874,            0.028712,           0.0091337,           0.0091337,           0.0091337
                  16,            0.053275,            0.071408,            0.020342,              0.7558,             0.11255,             0.15051,            0.067335,            0.061011,            0.071148,            0.029607,           0.0090719,           0.0090719,           0.0090719
                  17,            0.053205,            0.071378,            0.020194,             0.63029,             0.12958,             0.14836,            0.071432,            0.060907,            0.069441,            0.030293,             0.00901,             0.00901,             0.00901
                  18,            0.052968,            0.070969,            0.019529,             0.69352,             0.12147,             0.14265,            0.069012,             0.06077,            0.072069,            0.030096,           0.0089481,           0.0089481,           0.0089481
                  19,            0.052768,             0.07205,            0.019657,             0.55632,             0.14937,             0.15699,            0.076455,            0.060127,            0.069927,            0.029459,           0.0088863,           0.0088863,           0.0088863
                  20,            0.052068,            0.067013,            0.019274,             0.53871,             0.15287,             0.15024,            0.071395,            0.059917,             0.07084,            0.029525,           0.0088244,           0.0088244,           0.0088244
                  21,            0.052134,            0.070394,             0.01879,             0.65217,             0.12661,             0.14988,            0.071766,            0.059317,            0.071847,            0.029558,           0.0087625,           0.0087625,           0.0087625
                  22,            0.051548,            0.069785,            0.017716,             0.68124,             0.13149,             0.17177,            0.081595,              0.0602,             0.07169,            0.030009,           0.0087006,           0.0087006,           0.0087006
                  23,            0.051057,            0.067147,            0.017834,             0.56799,             0.12974,             0.14211,            0.063117,            0.061505,            0.073138,            0.029872,           0.0086388,           0.0086388,           0.0086388
                  24,            0.051079,            0.069616,            0.017734,             0.54753,             0.13704,             0.15277,            0.070593,            0.060193,             0.07196,            0.030193,           0.0085769,           0.0085769,           0.0085769
                  25,             0.05081,            0.067729,             0.01727,             0.54391,             0.14555,             0.17584,             0.07874,            0.061834,            0.071466,            0.029722,            0.008515,            0.008515,            0.008515
                  26,            0.050879,            0.066917,            0.017047,             0.52468,             0.14151,              0.1501,            0.068886,            0.060604,            0.072837,            0.030197,           0.0084531,           0.0084531,           0.0084531
                  27,            0.049808,              0.0662,            0.017001,             0.56232,             0.12485,             0.14342,            0.065696,            0.061021,            0.073447,            0.030853,           0.0083913,           0.0083913,           0.0083913
                  28,            0.049945,            0.066198,            0.016433,             0.44917,              0.1618,             0.16928,            0.082923,            0.060894,            0.070864,            0.029841,           0.0083294,           0.0083294,           0.0083294
                  29,            0.050162,            0.068164,             0.01705,             0.60572,              0.1299,             0.15553,            0.066478,            0.062762,            0.072106,            0.030307,           0.0082675,           0.0082675,           0.0082675
                  30,            0.049889,             0.06453,            0.016727,             0.42737,             0.18522,             0.18287,            0.078999,            0.059928,            0.072625,            0.029479,           0.0082056,           0.0082056,           0.0082056
                  31,            0.049438,            0.065306,            0.016496,             0.62509,             0.14404,             0.14941,            0.068637,            0.060845,             0.07435,            0.029508,           0.0081437,           0.0081437,           0.0081437
                  32,            0.049554,            0.064241,            0.015922,             0.62146,              0.1323,             0.16432,            0.074102,            0.061841,             0.07656,            0.030293,           0.0080819,           0.0080819,           0.0080819
                  33,            0.048952,            0.065512,             0.01583,             0.58328,             0.16213,             0.17647,            0.082401,            0.060644,            0.072924,            0.029072,             0.00802,             0.00802,             0.00802
                  34,            0.048774,            0.064816,             0.01574,              0.6552,             0.13318,             0.15564,            0.075428,            0.060843,            0.074938,            0.030727,           0.0079581,           0.0079581,           0.0079581
                  35,               0.049,            0.064435,            0.015639,             0.58158,             0.14988,              0.1809,            0.082726,            0.061774,            0.073855,            0.029575,           0.0078963,           0.0078963,           0.0078963
                  36,            0.048571,             0.06256,            0.015292,              0.4291,             0.17261,              0.1591,            0.078331,              0.0603,            0.073567,            0.028794,           0.0078344,           0.0078344,           0.0078344
                  37,            0.048276,            0.063683,            0.014885,             0.52482,             0.16519,               0.159,            0.075955,            0.061359,            0.074027,            0.029453,           0.0077725,           0.0077725,           0.0077725
                  38,            0.048455,            0.064864,              0.0154,             0.56029,             0.15985,             0.15132,            0.069096,            0.061183,            0.074796,             0.02902,           0.0077106,           0.0077106,           0.0077106
                  39,             0.04848,            0.065914,            0.014969,             0.70551,             0.12589,             0.15085,            0.074974,            0.061482,            0.073785,             0.02949,           0.0076488,           0.0076488,           0.0076488
                  40,            0.047658,            0.062562,            0.015688,             0.53302,             0.18269,             0.16711,            0.084007,            0.061132,            0.074825,             0.03004,           0.0075869,           0.0075869,           0.0075869
                  41,            0.047787,            0.063562,            0.015627,             0.56242,             0.15424,             0.16537,            0.078735,            0.060327,            0.075697,            0.030388,            0.007525,            0.007525,            0.007525
                  42,            0.048311,            0.064918,            0.015406,             0.68854,             0.12624,             0.15307,            0.075226,            0.061071,            0.075333,            0.030436,           0.0074631,           0.0074631,           0.0074631
                  43,            0.047063,            0.063746,            0.014654,             0.58923,             0.17569,             0.19236,            0.084989,            0.061518,            0.074295,            0.029836,           0.0074013,           0.0074013,           0.0074013
                  44,            0.047541,            0.060914,            0.014428,             0.45187,             0.17919,             0.17291,            0.086547,            0.060194,            0.074631,            0.029773,           0.0073394,           0.0073394,           0.0073394
                  45,            0.047339,             0.06306,             0.01499,              0.6232,             0.13051,             0.14038,            0.067631,            0.061506,             0.07596,            0.031592,           0.0072775,           0.0072775,           0.0072775
                  46,            0.047214,            0.061231,            0.014199,             0.69372,             0.13694,             0.17384,            0.079319,            0.061706,            0.076508,             0.03038,           0.0072156,           0.0072156,           0.0072156
